facname,addressnum,streetname,address,boro,zipcode,datasource,uid,grc,message
"DANCE PARADE, INC.",789,WESTMINSTER ROAD,789 WESTMINSTER ROAD,,,dcla_culturalinstitutions,e51ad6efd64c3a2a7bb7b1a3391616a9,EE,'WESTMINSTER ROAD' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES.
"DANCE PROJECT SEQUENCE, INC.",37-18,NORTHERN BOULEVARD,37-18 NORTHERN BLVD,,,dcla_culturalinstitutions,d6be40131a78d8db3e884657f46504cf,EE,'NORTHERN BLVD' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES.
"DANCING IN THE STREETS, INC.",555,BERGEN AVENUE,555 BERGEN AVENUE,,,dcla_culturalinstitutions,1c335a9c43135e4831973336f751d471,EE,'BERGEN AVENUE' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES.
"DANSPACE PROJECT, INC.",,,ST MARK'S CHURCH,,,dcla_culturalinstitutions,6ee66c140f93852302ceefbcaafa671d,16,STREET NAME IS MISSING
"DECONSTRUCTIVE THEATRE PROJECT, INC.",1421,DEKALB AVENUE,1421 DEKALB AVENUE,,,dcla_culturalinstitutions,6dab71026a2b2096ea6ca46cca9b9eba,EE,'DEKALB AVENUE' NOT RECOGNIZED. THERE ARE 002 SIMILAR NAMES.
DIVAS FOR SOCIAL JUSTICE,131-02,229 STREET,131-02 229TH STREET,,,dcla_culturalinstitutions,139a65015a923982ed6827c4078eb1f0,11,'229TH STREET' NOT RECOGNIZED. THERE ARE NO SIMILAR NAMES
"DOWN TOWN GLEE CLUB, INC.",1494,BOWLING GREEN STATION,POBOX 1494 BOWLING GREEN STATION,,,dcla_culturalinstitutions,a0d4cce55aa111c2c4839e8bc3f018b3,EE,'BOWLING GREEN STATION' NOT RECOGNIZED. THERE ARE 004 SIMILAR NAMES.
DRAMA CLUB INC,34-18,NORTHERN BOULEVARD,34-18 NORTHERN BLVD,,,dcla_culturalinstitutions,969b47037f3e5a6135f14178503785b1,EE,'NORTHERN BLVD' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES.
EL MUNDO DEL FLAMENCO NY CENTER FOR FLAMENCO,,,DANCE NEW AMSTERDAM,,,dcla_culturalinstitutions,156257db60291b357fc4722e2cfc0855,16,STREET NAME IS MISSING
"ELEVATOR REPAIR SERVICE THEATER, INC.",47,GREAT JONES STREET,47 GREAT JONES STREET,,,dcla_culturalinstitutions,07f23974bf9816933461b4ae8b729506,EE,'GREAT JONES STREET' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES.
"ENCOMPASS THEATRE COMPANY, INC.",138,SOUTH OXFORD STREET,138 SOUTH OXFORD STREET,,,dcla_culturalinstitutions,a6ad20ec12e2909529781cd844f1927d,11,'SOUTH OXFORD STREET' NOT RECOGNIZED. THERE ARE NO SIMILAR NAMES
"ESOPUS FOUNDATION, LTD.",41,SCHERMERHORN STREET,41 SCHERMERHORN ST,,,dcla_culturalinstitutions,66b7228ac713586490259322c2d50df7,EE,'SCHERMERHORN ST' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES.
"EX.PGIRL, INC.",366,13 STREET,366 13TH STREET,,,dcla_culturalinstitutions,83ba3586f14be83080e7071b4003ddcb,EE,'13TH STREET' NOT RECOGNIZED. THERE ARE 004 SIMILAR NAMES.
FGP NYC INC,60-84,70 AVENUE,60-84 70TH AVE,,,dcla_culturalinstitutions,0a0e9ddb51d9de98478a2c7777acd5ba,EE,'70TH AVE' NOT RECOGNIZED. THERE ARE 005 SIMILAR NAMES.
"FICTION, INC.",,,DEPT OF ENGL NAC 6TH FLOOR CITY COLLEGE OF NEW YORK,,,dcla_culturalinstitutions,276c8a07213b1ea7c9bc9ba085b1d19e,16,STREET NAME IS MISSING
"FIVE BOROUGHS MUSIC FESTIVAL, INC.",759,PRESIDENT STREET,759 PRESIDENT ST,,,dcla_culturalinstitutions,b9213a86af63eadbc01b6a51c4d1e756,EE,'PRESIDENT ST' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES.
"FIVE MYLES, INC.",133,WOOSTER STREET,133 WOOSTER STREET,,,dcla_culturalinstitutions,17c3ba080dd0c64245bb55a0805fd8e0,EE,'WOOSTER STREET' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES.
"FLAMENCO LATINO, INC.",84-12,35 AVENUE,84-12 35TH AVENUE,,,dcla_culturalinstitutions,f5fd5695d23a7933f48ef10dc4f1644a,EE,'35TH AVENUE' NOT RECOGNIZED. THERE ARE 002 SIMILAR NAMES.
FLEADH FOUNDATION,,,C/O 13 DESIGNS STUDIO,,,dcla_culturalinstitutions,48e521930b7ab222fce8d2b328ee1c14,16,STREET NAME IS MISSING
"FLUX THEATRE ENSEMBLE, INC.",6776,BOOTH STREET,6776 BOOTH STREET,,,dcla_culturalinstitutions,91bdb8be912f8877dc89705830df1b0b,EE,'BOOTH STREET' NOT RECOGNIZED. IS IT 'BOOKER T WASHINGTON PG'?
"FRACTURED ATLAS PRODUCTIONS, INC.",232,3 STREET,232 3RD STREET,,,dcla_culturalinstitutions,fe5e9cee52e9c6ff54cd289758557349,EE,'3RD STREET' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES.
"FREE103POINT9, INC.",5662,ROUTE 23,5662 ROUTE 23,,,dcla_culturalinstitutions,1216dac0c76f04f1b9b9a41ace929c50,EE,'ROUTE 23' NOT RECOGNIZED. IS IT 'ROUTE    1'?
"FRESH ART, INC.",,,C/O ST MARGARET'S HOUSE,,,dcla_culturalinstitutions,efd339b75c2261f8e23f71ef51860f72,16,STREET NAME IS MISSING
"FRESHSTART-CULTURAL THEATRE ARTS PRODUCTIONS, INC.",10,RICHMAN PLAZA,10 RICHMAN PLAZA,,,dcla_culturalinstitutions,f33959974d9fea5ba99950336424ab4c,EE,'RICHMAN PLAZA' NOT RECOGNIZED. THERE ARE 005 SIMILAR NAMES.
"FRIENDS OF THE CHORAL SOCIETY, INC.",,,C/O JOHN MACLAY,,,dcla_culturalinstitutions,c2c779232a8b5fd437d4e3fdb2bb05be,16,STREET NAME IS MISSING
GELSEY KIRKLAND ACADEMY OF CLASSICAL BALLET,,,GELSEY KIRKLAND ACADEMY OF CLASSICAL BALLET,,,dcla_culturalinstitutions,13543bcc0486cfe4f9714e7e2d9fa319,16,STREET NAME IS MISSING
"GUERRILLA SHAKESPEARE PROJECT, INC.",237,9 STREET,237 9TH STREET,,,dcla_culturalinstitutions,5770323d243864e785a658f7fe14672c,EE,'9TH STREET' NOT RECOGNIZED. THERE ARE 004 SIMILAR NAMES.
"HAITI CULTURAL EXCHANGE, INC.",,,C/O FIVE MYLES GALLERY,,,dcla_culturalinstitutions,e65abb48fdae6c076038c7557fdeda75,16,STREET NAME IS MISSING
"HARLEM PRESENTS, INC.",114-73,WEST 178 STREET,114-73 178TH STREET,,,dcla_culturalinstitutions,95ccb02bf76eacc75dcf42154990d0df,42,ADDRESS NUMBER OUT OF RANGE
HARLEM-HEIGHTS CULTURAL COUNCIL INC.,,,AUDUBON CENTER COLUMBIA UNIVERSITY,,,dcla_culturalinstitutions,0c85a85f58fa8881287df0b5ed9fa26c,16,STREET NAME IS MISSING
"HARLEM9, INC.",1855,ADAM CLAYTON POWEL JR BOULEVARD,1855 ADAM CLAYTON POWEL JR BLVD,,,dcla_culturalinstitutions,27fefdbf60d758ebd2fd98002036ec25,EE,'ADAM CLAYTON POWEL JR BLVD' NOT RECOGNIZED. THERE ARE 002 SIMILAR NAMES.
"HELL'S KITCHEN, NY CHAPTER OF SPEBSQSA, INC.",,,VOICES OF GOTHAM BARBERSHOP CHORUS,,,dcla_culturalinstitutions,f08c572ec89e80c49b1a2fea6a2958c8,16,STREET NAME IS MISSING
"HUMBLE ARTS FOUNDATION, INC.",,,POB 1157,,,dcla_culturalinstitutions,29e79c9a9ddd66d8a0ac4b81f577c7ec,16,STREET NAME IS MISSING
HUNGARIAN THEATRE & ART ASSOCIATION INC.,32-22,91 STREET,32-22 91 ST,,,dcla_culturalinstitutions,23f01f26ae3c9b03c78ffa4b7c7dedec,EE,'91 ST' NOT RECOGNIZED. THERE ARE 002 SIMILAR NAMES.
"IL PICCOLO TEATRO DELL'OPERA, INC.",41,SCHERMERHORN STREET,41 SCHERMERHORN STREET,,,dcla_culturalinstitutions,6d631caf5c71737f42af68b7e97cf148,EE,'SCHERMERHORN STREET' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES.
IMAGINE PROJECT INC,540,OCEAN PARKWAY,540 OCEAN PARKWAY,,,dcla_culturalinstitutions,0b2ce062afe22886db28018f1a9a244a,11,'OCEAN PARKWAY' NOT RECOGNIZED. THERE ARE NO SIMILAR NAMES
IMAGINE SCIENCE FILMS,,,NEW LAB BUILDING 128,,,dcla_culturalinstitutions,60e2d246a7e4031fe3d7e0345e3370f4,16,STREET NAME IS MISSING
"IMMIGRANTS' THEATRE PROJECT, INC.",44,DOUGLASS STREET,44 DOUGLASS STREET,,,dcla_culturalinstitutions,5b67ebd256bb4f698f9c99618d527f08,EE,'DOUGLASS STREET' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES.
"INDEPENDENT MEDIA ARTS PRESERVATION, INC.",,,C/O EAI,,,dcla_culturalinstitutions,85610962cc11b09800c25423f879683b,16,STREET NAME IS MISSING
INDYKIDS,,,INDYKIDS,,,dcla_culturalinstitutions,7ee16e73e2b445bfa9b76a8da1752f67,16,STREET NAME IS MISSING
INSTITUTE FOR PUBLIC ARCHITECTURE,45,EAST 20 STREET,45 E 20TH STREET,,,dcla_culturalinstitutions,6f8c05ce08fe4f737fa3b1a5c462c389,EE,'E 20TH STREET' NOT RECOGNIZED. IS IT 'EAST   20 ROAD'?
"INTERNATIONAL AGENCY FOR MINORITY ARTISTS AFFAIRS, INC.",,,ADAM CLAYTON POWELL JR STATE OFFICE BUILDING,,,dcla_culturalinstitutions,a2d3b7485b7b9d11ebda316a303a2835,16,STREET NAME IS MISSING
"INTERNATIONAL ARTS MOVEMENT, INC.",,,,,,dcla_culturalinstitutions,564583b3cc41e4e3607c114c659f5b10,16,STREET NAME IS MISSING
"INTREPID MUSEUM FOUNDATION, INC.",1,INTREPID SQUARE,ONE INTREPID SQUARE,,,dcla_culturalinstitutions,94b8424396a99d0119bda2c35ab4c540,EE,'INTREPID SQUARE' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES.
"JACK ARTS, INC.",,,C/O ALEC DUFFY,,,dcla_culturalinstitutions,ec068f64adc958b758ba584e6fb83d6f,16,STREET NAME IS MISSING
JACKIE ROBINSON PARK CONSERVANCY,,,POBOX 1194,,,dcla_culturalinstitutions,99b1fb0f597378f8e2e40fa4e056f24b,16,STREET NAME IS MISSING
"KOREAN AMERICAN HERITAGE FOUNDATION, INC.",163-07,DEPOT ROAD,163-07 DEPOT ROAD,,,dcla_culturalinstitutions,811a3f2ae01ef356a2a56b3b7a1b0112,EE,'DEPOT ROAD' NOT RECOGNIZED. THERE ARE 005 SIMILAR NAMES.
KOREAN ART FORUM,616,WEST 207 STREET,616 WEST 207TH STREET,,,dcla_culturalinstitutions,e4a681c3eda872d85e7372a5a12f4d05,11,'WEST 207TH STREET' NOT RECOGNIZED. THERE ARE NO SIMILAR NAMES
"KYO-SHIN-AN ARTS, INC.",44,PROSPECT PARK WEST,44 PROSPECT PARK WEST,,,dcla_culturalinstitutions,0a7fac7ea8aeaa2d24f4c00840cceb12,EE,'PROSPECT PARK WEST' NOT RECOGNIZED. IS IT 'PROSPECT PLACE'?
"LAUNDROMAT PROJECT, INC.",127,WEST 127 STREET,127 WEST 127TH STREET,,,dcla_culturalinstitutions,2edf581282b465ef68b67bf32817f308,11,'WEST 127TH STREET' NOT RECOGNIZED. THERE ARE NO SIMILAR NAMES
"LEGROS CULTURAL ARTS, INC.",146,WEST 225 STREET,146-28 225 STREET,,10463,dcla_culturalinstitutions,ba45a84b8013d74a8f9073258ffd7dee,01,ADDR NUMBER ALTERED: RANGE ASSUMED. USING DIGITS BEFORE DASH ONLY
"LES BALLETS TROCKADERO DE MONTE CARLO, INC.",,,BOX 1325 GRACIE STATION,,,dcla_culturalinstitutions,7fc5dbb4dec1488936be9456056d32b0,16,STREET NAME IS MISSING
"LIBERATED MOVEMENT, INC.",87-09,34 AVENUE,87-09 34TH AVE,,,dcla_culturalinstitutions,c1c9db10f2619c55824672ab8b21126e,EE,'34TH AVE' NOT RECOGNIZED. THERE ARE 005 SIMILAR NAMES.
"LIGHT OPERA OF NEW YORK, INC.",,,LIGHT OPERA OF NEW YORK,,,dcla_culturalinstitutions,45fe7e034c2674230ff1835aaba4c6bc,16,STREET NAME IS MISSING
