facdomain,facgroup,facsubgrp,factype,datasource,count_new,facdomain_old,facgroup_old,facsubgrp_old,factype_old,count_old,diff
ADMINISTRATION OF GOVERNMENT,"CITY AGENCY PARKING, MAINTENANCE, AND STORAGE",STORAGE,INDOOR STORAGE - SUPPLIES,dcas_colp,6,ADMINISTRATION OF GOVERNMENT,"CITY AGENCY PARKING, MAINTENANCE, AND STORAGE",STORAGE,INDOOR STORAGE - SUPPLIES,5,1
ADMINISTRATION OF GOVERNMENT,"CITY AGENCY PARKING, MAINTENANCE, AND STORAGE",STORAGE,OUTDOOR MAINTENANCE/STORAGE FACILITY,dcas_colp,4,ADMINISTRATION OF GOVERNMENT,"CITY AGENCY PARKING, MAINTENANCE, AND STORAGE",STORAGE,OUTDOOR MAINTENANCE/STORAGE FACILITY,4,0
ADMINISTRATION OF GOVERNMENT,"CITY AGENCY PARKING, MAINTENANCE, AND STORAGE",STORAGE,OUTDOOR STORAGE,dcas_colp,20,ADMINISTRATION OF GOVERNMENT,"CITY AGENCY PARKING, MAINTENANCE, AND STORAGE",STORAGE,OUTDOOR STORAGE,18,2
ADMINISTRATION OF GOVERNMENT,"CITY AGENCY PARKING, MAINTENANCE, AND STORAGE",STORAGE,OUTDOOR STORAGE - AGENCY VEHICLES,dcas_colp,2,ADMINISTRATION OF GOVERNMENT,"CITY AGENCY PARKING, MAINTENANCE, AND STORAGE",STORAGE,OUTDOOR STORAGE - AGENCY VEHICLES,2,0
ADMINISTRATION OF GOVERNMENT,"CITY AGENCY PARKING, MAINTENANCE, AND STORAGE",STORAGE,OUTDOOR STORAGE - BULK MATERIAL,dcas_colp,12,ADMINISTRATION OF GOVERNMENT,"CITY AGENCY PARKING, MAINTENANCE, AND STORAGE",STORAGE,OUTDOOR STORAGE - BULK MATERIAL,12,0
ADMINISTRATION OF GOVERNMENT,"CITY AGENCY PARKING, MAINTENANCE, AND STORAGE",STORAGE,OUTDOOR STORAGE - EQUIPMENT,dcas_colp,12,ADMINISTRATION OF GOVERNMENT,"CITY AGENCY PARKING, MAINTENANCE, AND STORAGE",STORAGE,OUTDOOR STORAGE - EQUIPMENT,12,0
ADMINISTRATION OF GOVERNMENT,"OFFICES, TRAINING, AND TESTING",CITY GOVERNMENT OFFICES,AGENCY EXECUTIVE OFFICE,dcas_colp,79,ADMINISTRATION OF GOVERNMENT,"OFFICES, TRAINING, AND TESTING",CITY GOVERNMENT OFFICES,AGENCY EXECUTIVE OFFICE,78,1
ADMINISTRATION OF GOVERNMENT,"OFFICES, TRAINING, AND TESTING",CITY GOVERNMENT OFFICES,AGENCY OFFICE,dcas_colp,243,ADMINISTRATION OF GOVERNMENT,"OFFICES, TRAINING, AND TESTING",CITY GOVERNMENT OFFICES,AGENCY OFFICE,228,15
ADMINISTRATION OF GOVERNMENT,"OFFICES, TRAINING, AND TESTING",CITY GOVERNMENT OFFICES,BOROUGH OFFICE,dcas_colp,65,ADMINISTRATION OF GOVERNMENT,"OFFICES, TRAINING, AND TESTING",CITY GOVERNMENT OFFICES,BOROUGH OFFICE,60,5
ADMINISTRATION OF GOVERNMENT,"OFFICES, TRAINING, AND TESTING",CITY GOVERNMENT OFFICES,FIELD OFFICE,dcas_colp,4,ADMINISTRATION OF GOVERNMENT,"OFFICES, TRAINING, AND TESTING",CITY GOVERNMENT OFFICES,FIELD OFFICE,4,0
ADMINISTRATION OF GOVERNMENT,"OFFICES, TRAINING, AND TESTING",CITY GOVERNMENT OFFICES,FIELD OFFICE-PUBLIC,dcas_colp,63,ADMINISTRATION OF GOVERNMENT,"OFFICES, TRAINING, AND TESTING",CITY GOVERNMENT OFFICES,FIELD OFFICE-PUBLIC,57,6
ADMINISTRATION OF GOVERNMENT,"OFFICES, TRAINING, AND TESTING",CITY GOVERNMENT OFFICES,FIELD OFFICE-STAFF,dcas_colp,19,ADMINISTRATION OF GOVERNMENT,"OFFICES, TRAINING, AND TESTING",CITY GOVERNMENT OFFICES,FIELD OFFICE-STAFF,17,2
ADMINISTRATION OF GOVERNMENT,"OFFICES, TRAINING, AND TESTING",CITY GOVERNMENT OFFICES,OFFICE,dcas_colp,31,ADMINISTRATION OF GOVERNMENT,"OFFICES, TRAINING, AND TESTING",CITY GOVERNMENT OFFICES,OFFICE,31,0
ADMINISTRATION OF GOVERNMENT,"OFFICES, TRAINING, AND TESTING",CITY GOVERNMENT OFFICES,OFFICE LEASED BY EDUC,dcas_colp,15,ADMINISTRATION OF GOVERNMENT,"OFFICES, TRAINING, AND TESTING",CITY GOVERNMENT OFFICES,OFFICE LEASED BY EDUC,14,1
ADMINISTRATION OF GOVERNMENT,"OFFICES, TRAINING, AND TESTING",TRAINING AND TESTING,TESTING FACILITY,dcas_colp,5,ADMINISTRATION OF GOVERNMENT,"OFFICES, TRAINING, AND TESTING",TRAINING AND TESTING,TESTING FACILITY,5,0
ADMINISTRATION OF GOVERNMENT,"OFFICES, TRAINING, AND TESTING",TRAINING AND TESTING,TRAINING FACILITY,dcas_colp,6,ADMINISTRATION OF GOVERNMENT,"OFFICES, TRAINING, AND TESTING",TRAINING AND TESTING,TRAINING FACILITY,7,-1
ADMINISTRATION OF GOVERNMENT,"OFFICES, TRAINING, AND TESTING",TRAINING AND TESTING,TRAINING FACILITY - INDOOR,dcas_colp,2,ADMINISTRATION OF GOVERNMENT,"OFFICES, TRAINING, AND TESTING",TRAINING AND TESTING,TRAINING FACILITY - INDOOR,2,0
ADMINISTRATION OF GOVERNMENT,"OFFICES, TRAINING, AND TESTING",TRAINING AND TESTING,TRAINING FACILITY - OUTDOOR,dcas_colp,3,ADMINISTRATION OF GOVERNMENT,"OFFICES, TRAINING, AND TESTING",TRAINING AND TESTING,TRAINING FACILITY - OUTDOOR,3,0
ADMINISTRATION OF GOVERNMENT,OTHER PROPERTY,MISCELLANEOUS USE,COURTHOUSE,dcas_colp,3,ADMINISTRATION OF GOVERNMENT,OTHER PROPERTY,MISCELLANEOUS USE,COURTHOUSE,3,0
ADMINISTRATION OF GOVERNMENT,OTHER PROPERTY,MISCELLANEOUS USE,HELIPORT,dcas_colp,2,ADMINISTRATION OF GOVERNMENT,OTHER PROPERTY,MISCELLANEOUS USE,HELIPORT,2,0
ADMINISTRATION OF GOVERNMENT,OTHER PROPERTY,MISCELLANEOUS USE,IN USE-RESIDENTIAL STRUCTURE,dcas_colp,1,ADMINISTRATION OF GOVERNMENT,OTHER PROPERTY,MISCELLANEOUS USE,IN USE-RESIDENTIAL STRUCTURE,1,0
ADMINISTRATION OF GOVERNMENT,OTHER PROPERTY,MISCELLANEOUS USE,NO USE,dcas_colp,288,ADMINISTRATION OF GOVERNMENT,OTHER PROPERTY,MISCELLANEOUS USE,NO USE,292,-4
ADMINISTRATION OF GOVERNMENT,OTHER PROPERTY,MISCELLANEOUS USE,NO USE-NON RESIDENTIAL STRUCTURE,dcas_colp,91,ADMINISTRATION OF GOVERNMENT,OTHER PROPERTY,MISCELLANEOUS USE,NO USE-NON RESIDENTIAL STRUCTURE,63,28
ADMINISTRATION OF GOVERNMENT,OTHER PROPERTY,MISCELLANEOUS USE,NO USE-VACANT LAND,dcas_colp,1373,ADMINISTRATION OF GOVERNMENT,OTHER PROPERTY,MISCELLANEOUS USE,NO USE-VACANT LAND,1263,110
ADMINISTRATION OF GOVERNMENT,OTHER PROPERTY,MISCELLANEOUS USE,NO USE-WATERFRONT (ANY AGENCY),dcas_colp,110,ADMINISTRATION OF GOVERNMENT,OTHER PROPERTY,MISCELLANEOUS USE,NO USE-WATERFRONT (ANY AGENCY),101,9
ADMINISTRATION OF GOVERNMENT,OTHER PROPERTY,MISCELLANEOUS USE,PIER - NO USE,dcas_colp,5,ADMINISTRATION OF GOVERNMENT,OTHER PROPERTY,MISCELLANEOUS USE,PIER - NO USE,5,0
ADMINISTRATION OF GOVERNMENT,OTHER PROPERTY,MISCELLANEOUS USE,RETAIL,dcas_colp,12,ADMINISTRATION OF GOVERNMENT,OTHER PROPERTY,MISCELLANEOUS USE,RETAIL,11,1
ADMINISTRATION OF GOVERNMENT,OTHER PROPERTY,MISCELLANEOUS USE,SECURITY,dcas_colp,11,ADMINISTRATION OF GOVERNMENT,OTHER PROPERTY,MISCELLANEOUS USE,SECURITY,11,0
ADMINISTRATION OF GOVERNMENT,OTHER PROPERTY,MISCELLANEOUS USE,TESTING FACILITY,dcas_colp,1,ADMINISTRATION OF GOVERNMENT,OTHER PROPERTY,MISCELLANEOUS USE,TESTING FACILITY,1,0
ADMINISTRATION OF GOVERNMENT,OTHER PROPERTY,MISCELLANEOUS USE,UNDEVELOPED,dpr_parksproperties,57,ADMINISTRATION OF GOVERNMENT,OTHER PROPERTY,MISCELLANEOUS USE,UNDEVELOPED,60,-3
ADMINISTRATION OF GOVERNMENT,OTHER PROPERTY,MISCELLANEOUS USE,WATERFRONT PROPERTY,dcas_colp,63,ADMINISTRATION OF GOVERNMENT,OTHER PROPERTY,MISCELLANEOUS USE,WATERFRONT PROPERTY,37,26
ADMINISTRATION OF GOVERNMENT,OTHER PROPERTY,PROPERTIES LEASED OR LICENSED TO NON-PUBLIC ENTITIES,LONG-TERM AGREEMENT,dcas_colp,210,ADMINISTRATION OF GOVERNMENT,OTHER PROPERTY,PROPERTIES LEASED OR LICENSED TO NON-PUBLIC ENTITIES,LONG-TERM AGREEMENT,181,29
ADMINISTRATION OF GOVERNMENT,OTHER PROPERTY,PROPERTIES LEASED OR LICENSED TO NON-PUBLIC ENTITIES,SHORT & LONG TERM AGREEMENTS,dcas_colp,11,ADMINISTRATION OF GOVERNMENT,OTHER PROPERTY,PROPERTIES LEASED OR LICENSED TO NON-PUBLIC ENTITIES,SHORT & LONG TERM AGREEMENTS,11,0
ADMINISTRATION OF GOVERNMENT,OTHER PROPERTY,PROPERTIES LEASED OR LICENSED TO NON-PUBLIC ENTITIES,SHORT-TERM AGREEMENT,dcas_colp,157,ADMINISTRATION OF GOVERNMENT,OTHER PROPERTY,PROPERTIES LEASED OR LICENSED TO NON-PUBLIC ENTITIES,SHORT-TERM AGREEMENT,85,72
CORE INFRASTRUCTURE AND TRANSPORTATION,MATERIAL SUPPLIES AND MARKETS,MATERIAL SUPPLIES,ASPHALT PLANT,dcas_colp,2,CORE INFRASTRUCTURE AND TRANSPORTATION,MATERIAL SUPPLIES AND MARKETS,MATERIAL SUPPLIES,ASPHALT PLANT,2,0
CORE INFRASTRUCTURE AND TRANSPORTATION,MATERIAL SUPPLIES AND MARKETS,MATERIAL SUPPLIES,ASPHALT PLANT,dot_mannedfacilities,2,CORE INFRASTRUCTURE AND TRANSPORTATION,MATERIAL SUPPLIES AND MARKETS,MATERIAL SUPPLIES,ASPHALT PLANT,2,0
CORE INFRASTRUCTURE AND TRANSPORTATION,MATERIAL SUPPLIES AND MARKETS,MATERIAL SUPPLIES,MATERIAL PROCESSING FACILITY,dcas_colp,3,CORE INFRASTRUCTURE AND TRANSPORTATION,MATERIAL SUPPLIES AND MARKETS,MATERIAL SUPPLIES,MATERIAL PROCESSING FACILITY,2,1
CORE INFRASTRUCTURE AND TRANSPORTATION,MATERIAL SUPPLIES AND MARKETS,WHOLESALE MARKETS,COMMERCIAL MARKET,dcas_colp,9,CORE INFRASTRUCTURE AND TRANSPORTATION,MATERIAL SUPPLIES AND MARKETS,WHOLESALE MARKETS,COMMERCIAL MARKET,8,1
CORE INFRASTRUCTURE AND TRANSPORTATION,MATERIAL SUPPLIES AND MARKETS,WHOLESALE MARKETS,WHOLESALE FOOD MARKET,dcas_colp,6,CORE INFRASTRUCTURE AND TRANSPORTATION,MATERIAL SUPPLIES AND MARKETS,WHOLESALE MARKETS,WHOLESALE FOOD MARKET,6,0
CORE INFRASTRUCTURE AND TRANSPORTATION,SOLID WASTE,SOLID WASTE PROCESSING,COMPOSTING,nysdec_solidwaste,6,CORE INFRASTRUCTURE AND TRANSPORTATION,SOLID WASTE,SOLID WASTE PROCESSING,COMPOSTING,7,-1
CORE INFRASTRUCTURE AND TRANSPORTATION,SOLID WASTE,SOLID WASTE PROCESSING,CONSTRUCTION AND DEMOLITION PROCESSING,nysdec_solidwaste,46,CORE INFRASTRUCTURE AND TRANSPORTATION,SOLID WASTE,SOLID WASTE PROCESSING,CONSTRUCTION AND DEMOLITION PROCESSING,51,-5
CORE INFRASTRUCTURE AND TRANSPORTATION,SOLID WASTE,SOLID WASTE PROCESSING,RECYCLABLES HANDLING AND RECOVERY,nysdec_solidwaste,37,CORE INFRASTRUCTURE AND TRANSPORTATION,SOLID WASTE,SOLID WASTE PROCESSING,RECYCLABLES HANDLING AND RECOVERY,24,13
CORE INFRASTRUCTURE AND TRANSPORTATION,SOLID WASTE,SOLID WASTE PROCESSING,REGULATED MEDICAL WASTE,nysdec_solidwaste,5,CORE INFRASTRUCTURE AND TRANSPORTATION,SOLID WASTE,SOLID WASTE PROCESSING,REGULATED MEDICAL WASTE,4,1
CORE INFRASTRUCTURE AND TRANSPORTATION,SOLID WASTE,SOLID WASTE PROCESSING,SCRAP METAL PROCESSING,dca_operatingbusinesses,64,CORE INFRASTRUCTURE AND TRANSPORTATION,SOLID WASTE,SOLID WASTE PROCESSING,SCRAP METAL PROCESSING,98,-34
CORE INFRASTRUCTURE AND TRANSPORTATION,SOLID WASTE,SOLID WASTE PROCESSING,SOLID WASTE INCINERATOR,dcas_colp,1,CORE INFRASTRUCTURE AND TRANSPORTATION,SOLID WASTE,SOLID WASTE PROCESSING,SOLID WASTE INCINERATOR,1,0
CORE INFRASTRUCTURE AND TRANSPORTATION,SOLID WASTE,SOLID WASTE PROCESSING,SOLID WASTE LANDFILL,dcas_colp,7,CORE INFRASTRUCTURE AND TRANSPORTATION,SOLID WASTE,SOLID WASTE PROCESSING,SOLID WASTE LANDFILL,5,2
CORE INFRASTRUCTURE AND TRANSPORTATION,SOLID WASTE,SOLID WASTE PROCESSING,USED COOKING OIL PROCESSING,nysdec_solidwaste,3,CORE INFRASTRUCTURE AND TRANSPORTATION,SOLID WASTE,SOLID WASTE PROCESSING,USED COOKING OIL PROCESSING,3,0
CORE INFRASTRUCTURE AND TRANSPORTATION,SOLID WASTE,SOLID WASTE PROCESSING,VEHICLE DISMANTLING FACILITY,nysdec_solidwaste,69,CORE INFRASTRUCTURE AND TRANSPORTATION,SOLID WASTE,SOLID WASTE PROCESSING,VEHICLE DISMANTLING FACILITY,71,-2
CORE INFRASTRUCTURE AND TRANSPORTATION,SOLID WASTE,SOLID WASTE PROCESSING,WASTE OIL STORAGE,nysdec_solidwaste,4,CORE INFRASTRUCTURE AND TRANSPORTATION,SOLID WASTE,SOLID WASTE PROCESSING,WASTE OIL STORAGE,4,0
CORE INFRASTRUCTURE AND TRANSPORTATION,SOLID WASTE,SOLID WASTE PROCESSING,WASTE TIRE STORAGE,nysdec_solidwaste,1,CORE INFRASTRUCTURE AND TRANSPORTATION,SOLID WASTE,SOLID WASTE PROCESSING,WASTE TIRE STORAGE,1,0
CORE INFRASTRUCTURE AND TRANSPORTATION,SOLID WASTE,SOLID WASTE TRANSFER AND CARTING,DSNY DROP-OFF FACILITY,dsny_mtsgaragemaintenance,5,,,,,,
CORE INFRASTRUCTURE AND TRANSPORTATION,SOLID WASTE,SOLID WASTE TRANSFER AND CARTING,DSNY GARAGE,dsny_mtsgaragemaintenance,79,,,,,,
CORE INFRASTRUCTURE AND TRANSPORTATION,SOLID WASTE,SOLID WASTE TRANSFER AND CARTING,DSNY MARINE TRANSFER STATION,dsny_mtsgaragemaintenance,11,CORE INFRASTRUCTURE AND TRANSPORTATION,SOLID WASTE,SOLID WASTE TRANSFER AND CARTING,DSNY MARINE TRANSFER STATION,7,4
CORE INFRASTRUCTURE AND TRANSPORTATION,SOLID WASTE,SOLID WASTE TRANSFER AND CARTING,DSNY REPAIR FACILITY,dsny_mtsgaragemaintenance,10,,,,,,
CORE INFRASTRUCTURE AND TRANSPORTATION,SOLID WASTE,SOLID WASTE TRANSFER AND CARTING,SANITATION SECTION STATION,dcas_colp,17,CORE INFRASTRUCTURE AND TRANSPORTATION,SOLID WASTE,SOLID WASTE TRANSFER AND CARTING,SANITATION SECTION STATION,15,2
CORE INFRASTRUCTURE AND TRANSPORTATION,SOLID WASTE,SOLID WASTE TRANSFER AND CARTING,SOLID WASTE TRANSFER STATION,dcas_colp,12,CORE INFRASTRUCTURE AND TRANSPORTATION,SOLID WASTE,SOLID WASTE TRANSFER AND CARTING,SOLID WASTE TRANSFER STATION,6,6
CORE INFRASTRUCTURE AND TRANSPORTATION,SOLID WASTE,SOLID WASTE TRANSFER AND CARTING,TRANSFER STATION,nysdec_solidwaste,25,CORE INFRASTRUCTURE AND TRANSPORTATION,SOLID WASTE,SOLID WASTE TRANSFER AND CARTING,TRANSFER STATION,35,-10
CORE INFRASTRUCTURE AND TRANSPORTATION,TELECOMMUNICATIONS,TELECOMMUNICATIONS,ANTENNA,dcas_colp,4,CORE INFRASTRUCTURE AND TRANSPORTATION,TELECOMMUNICATIONS,TELECOMMUNICATIONS,ANTENNA,4,0
CORE INFRASTRUCTURE AND TRANSPORTATION,TELECOMMUNICATIONS,TELECOMMUNICATIONS,TELE/COMP FACILITY,dcas_colp,2,CORE INFRASTRUCTURE AND TRANSPORTATION,TELECOMMUNICATIONS,TELECOMMUNICATIONS,TELE/COMP FACILITY,4,-2
CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,AIRPORTS AND HELIPORTS,AIRPORT,usdot_airports,2,CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,AIRPORTS AND HELIPORTS,AIRPORT,9,-7
CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,AIRPORTS AND HELIPORTS,AIRPORT,dcas_colp,9,CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,AIRPORTS AND HELIPORTS,AIRPORT,9,0
CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,AIRPORTS AND HELIPORTS,HELIPORT,usdot_airports,12,CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,AIRPORTS AND HELIPORTS,HELIPORT,12,0
CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,AIRPORTS AND HELIPORTS,SEAPLANE BASE,usdot_airports,4,CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,AIRPORTS AND HELIPORTS,SEAPLANE BASE,4,0
CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,BUS DEPOTS AND TERMINALS,BUS STATION,dcas_colp,2,CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,BUS DEPOTS AND TERMINALS,BUS STATION,1,1
CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,BUS DEPOTS AND TERMINALS,MTA BUS DEPOT,dcp_sfpsd,28,CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,BUS DEPOTS AND TERMINALS,MTA BUS DEPOT,28,0
CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,BUS DEPOTS AND TERMINALS,MTA PARATRANSIT VEHICLE DEPOT,dcp_sfpsd,15,CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,BUS DEPOTS AND TERMINALS,MTA PARATRANSIT VEHICLE DEPOT,15,0
CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,BUS DEPOTS AND TERMINALS,PANYNJ BUS TERMINAL,dcp_sfpsd,2,CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,BUS DEPOTS AND TERMINALS,PANYNJ BUS TERMINAL,2,0
CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,BUS DEPOTS AND TERMINALS,SCHOOL BUS DEPOT,doe_busroutesgarages,114,CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,BUS DEPOTS AND TERMINALS,SCHOOL BUS DEPOT,105,9
CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,OTHER TRANSPORTATION,BRIDGE HOUSE,dot_bridgehouses,35,CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,OTHER TRANSPORTATION,BRIDGE HOUSE,35,0
CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,OTHER TRANSPORTATION,"MAINTENANCE, MANAGEMENT, AND OPERATIONS",dot_mannedfacilities,34,,,,,,
CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,OTHER TRANSPORTATION,MANNED TRANSPORTATION FACILITY,dot_mannedfacilities,32,,,,,,
CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,OTHER TRANSPORTATION,TRANSPORTATION FACILITY,dcas_colp,85,CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,OTHER TRANSPORTATION,TRANSPORTATION FACILITY,71,14
CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,PARKING LOTS AND GARAGES,COMMERCIAL GARAGE,dca_operatingbusinesses,1126,CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,PARKING LOTS AND GARAGES,COMMERCIAL GARAGE,1317,-191
CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,PARKING LOTS AND GARAGES,COMMERCIAL GARAGE AND PARKING LOT,dca_operatingbusinesses,115,CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,PARKING LOTS AND GARAGES,COMMERCIAL GARAGE AND PARKING LOT,98,17
CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,PARKING LOTS AND GARAGES,COMMERCIAL PARKING LOT,dca_operatingbusinesses,337,CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,PARKING LOTS AND GARAGES,COMMERCIAL PARKING LOT,659,-322
